Vuosineljannes,Alue,Huoneluku,Rahoitusmuoto,Indeksi,Vuokra_per_nelio
2017Q4,Helsinki,Kaksiot,Vapaarahoitteinen,103.1,18.93
2017Q4,Helsinki,Kolmiot+,Vapaarahoitteinen,103.6,17.07
2017Q4,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,104.0,21.17
2017Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,102.7,16.88
2017Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,102.6,15.09
2017Q4,Vantaa,Yksiot,Vapaarahoitteinen,104.8,20.32
2017Q4,Vantaa,Kaksiot,Vapaarahoitteinen,104.0,16.42
2017Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,103.9,14.95
2018Q1,Helsinki,Yksiot,Vapaarahoitteinen,104.3,24.54
2018Q1,Helsinki,Kaksiot,Vapaarahoitteinen,104.0,18.68
2018Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,104.5,16.58
2018Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,104.7,20.97
2018Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,103.2,16.54
2018Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,103.2,14.72
2018Q1,Vantaa,Yksiot,Vapaarahoitteinen,106.1,20.59
2018Q1,Vantaa,Kaksiot,Vapaarahoitteinen,105.0,16.2
2018Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,105.1,14.68
2018Q2,Helsinki,Yksiot,Vapaarahoitteinen,104.5,24.65
2018Q2,Helsinki,Kaksiot,Vapaarahoitteinen,104.1,18.71
2018Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,104.7,16.66
2018Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,104.9,20.98
2018Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,103.3,16.55
2018Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,103.1,14.82
2018Q2,Vantaa,Yksiot,Vapaarahoitteinen,106.1,20.67
2018Q2,Vantaa,Kaksiot,Vapaarahoitteinen,105.0,16.26
2018Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,105.1,14.72
2018Q3,Helsinki,Yksiot,Vapaarahoitteinen,104.7,24.72
2018Q3,Helsinki,Kaksiot,Vapaarahoitteinen,104.3,18.83
2018Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,104.9,16.76
2018Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,105.0,21.12
2018Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,103.4,16.74
2018Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,103.1,14.96
2018Q3,Vantaa,Yksiot,Vapaarahoitteinen,106.3,20.75
2018Q3,Vantaa,Kaksiot,Vapaarahoitteinen,105.1,16.33
